,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
?????????????????? ?? 2568P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of,2025p,,,,,,,,,,,,,2024p,,,,,,,,,,,,,Country of,%CHANG,,,,,,,,,,,,,,,
Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),Nationality,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD (Jan-Dec),,,
Asia and the Pacific,"2,387,127","1,918,859","1,684,357","1,707,015","1,739,611","1,774,807","1,841,726","1,880,237","1,708,042","1,786,788","1,778,718","1,989,334","22,196,621","1,955,313","2,319,923","2,063,087","2,069,461","2,137,118","2,197,566","2,369,020","2,304,928","2,013,906","1,952,024","2,075,472","2,362,800","25,820,618",Asia and the Pacific,+22.08,-17.29,-18.36,-17.51,-18.60,-19.24,-22.26,-18.43,-15.19,-8.46,-14.30,-15.81,-14.04,,,
South-East Asia,"908,215","837,071","746,585","788,706","826,041","863,823","740,625","747,768","765,119","744,009","716,406","782,033","9,466,401","735,661","944,998","817,836","859,777","944,514","980,085","967,013","883,873","887,356","825,721","837,314","976,631","10,660,779",South-East Asia,+23.46,-11.42,-8.71,-8.27,-12.54,-11.86,-23.41,-15.40,-13.78,-9.90,-14.44,-19.93,-11.20,,,
Brunei,"1,306","1,075",856,949,"1,267","1,528","1,081","1,579",926,984,"1,521","2,044","15,116","1,142","1,328",996,"1,063","1,155","1,246","1,339","1,921","1,025","1,294","1,409","2,270","16,188",Brunei,+14.36,-19.05,-14.06,-10.72,+9.70,+22.63,-19.27,-17.80,-9.66,-23.96,+7.95,-9.96,-6.62,,,
Cambodia,"46,001","43,533","41,087","30,607","36,430","19,994","12,813","4,479","5,002","5,278","5,783","2,550","253,557","47,963","45,404","46,499","42,732","46,384","47,125","49,135","46,242","43,436","43,590","45,367","49,183","553,060",Cambodia,-4.09,-4.12,-11.64,-28.37,-21.46,-57.57,-73.92,-90.31,-88.48,-87.89,-87.25,-94.82,-54.15,,,
Indonesia,"82,919","70,389","66,486","72,756","72,807","71,899","64,275","49,434","55,300","50,086","61,872","69,301","787,524","70,785","77,579","63,162","74,499","75,162","80,154","74,541","66,911","65,857","66,816","74,591","86,553","876,610",Indonesia,+17.14,-9.27,+5.26,-2.34,-3.13,-10.30,-13.77,-26.12,-16.03,-25.04,-17.05,-19.93,-10.16,,,
Laos,"94,271","78,253","92,192","80,468","74,464","79,291","63,430","67,682","55,279","60,942","59,282","62,814","868,368","102,319","100,613","105,165","95,010","104,273","111,412","118,503","82,791","79,490","67,865","85,555","71,206","1,124,202",Laos,-7.87,-22.22,-12.34,-15.31,-28.59,-28.83,-46.47,-18.25,-30.46,-10.20,-30.71,-11.79,-22.76,,,
Malaysia,"443,015","418,045","292,436","362,636","385,332","398,433","358,287","391,777","428,712","378,143","321,869","342,171","4,520,856","321,704","501,120","345,750","401,282","442,550","423,554","427,863","405,752","472,899","402,575","354,892","452,137","4,952,078",Malaysia,+37.71,-16.58,-15.42,-9.63,-12.93,-5.93,-16.26,-3.44,-9.34,-6.07,-9.31,-24.32,-8.71,,,
Myanmar,"50,067","44,157","57,188","58,320","56,312","63,468","47,796","51,660","53,325","64,152","65,171","77,062","688,678","35,742","39,616","51,358","56,698","47,830","43,701","44,547","41,702","38,354","43,317","43,725","60,039","546,629",Myanmar,+40.08,+11.46,+11.35,+2.86,+17.73,+45.23,+7.29,+23.88,+39.03,+48.10,+49.05,+28.35,+25.99,,,
Philippines,"48,987","47,601","51,046","60,389","63,908","64,860","61,162","60,713","55,080","61,299","63,665","65,865","704,575","35,418","37,911","42,504","43,856","44,695","57,067","59,361","53,721","46,279","56,008","61,551","59,753","598,124",Philippines,+38.31,+25.56,+20.10,+37.70,+42.99,+13.66,+3.03,+13.02,+19.02,+9.45,+3.43,+10.23,+17.80,,,
Singapore,"77,555","64,585","81,349","61,321","76,706","107,501","73,196","70,640","73,522","77,095","89,176","114,695","967,341","65,188","66,414","83,489","62,938","82,219","105,202","75,176","84,267","72,993","79,144","100,968","131,642","1,009,640",Singapore,+18.97,-2.75,-2.56,-2.57,-6.71,+2.19,-2.63,-16.17,+0.72,-2.59,-11.68,-12.87,-4.19,,,
